ciudad,lat,lon,riesgo_final,nivel,poblacion,zona_tipo,region_detectada,ndvi,ndwi,nbr,temperatura,precipitacion_60d,viento_kmh,elevacion_msnm,pendiente_grados
Agua_de_Oro,-31.06694,-64.29056,47.2,MODERADO,100,localidad_principal,Sierras_Chicas,0.638,-0.5,0.332,15.89,25.883,1.735,754.0,0.535
Villa_Cerro_Azul,-31.06889,-64.32131,52.6,ALTO,100,localidad_principal,Sierras_Chicas,0.681,-0.407,0.389,14.13,17.515,1.735,897.0,6.635
El_Manzano,-31.07556,-64.29314,47.2,MODERADO,100,localidad_principal,Sierras_Chicas,0.618,-0.41,0.363,16.33,25.883,1.735,797.0,1.286
punto_001,-31.04785,-64.30167,51.1,ALTO,100,grid_analisis,Sierras_Chicas,0.735,-0.433,0.373,16.69,19.853,1.957,820.0,2.029
punto_002,-31.02539,-64.2974,46.0,MODERADO,100,grid_analisis,Sierras_Chicas,0.597,-0.448,0.34,15.93,27.798,1.957,831.0,3.331
punto_003,-31.00353,-64.28889,46.0,MODERADO,100,grid_analisis,Sierras_Chicas,0.804,-0.488,0.463,16.73,27.798,1.957,822.0,1.524
punto_004,-30.98272,-64.27625,52.4,ALTO,100,grid_analisis,Sierras_Chicas,0.462,-0.364,0.157,16.65,26.708,1.957,729.0,0.841
punto_005,-30.96338,-64.25964,50.6,ALTO,100,grid_analisis,Sierras_Chicas,0.474,-0.208,0.196,14.3,26.708,1.957,679.0,1.817
punto_006,-31.04971,-64.29127,46.0,MODERADO,100,grid_analisis,Sierras_Chicas,0.514,-0.407,0.311,16.69,27.798,1.957,745.0,2.714
punto_007,-31.03055,-64.27701,46.0,MODERADO,100,grid_analisis,Sierras_Chicas,0.58,-0.435,0.288,16.89,27.798,1.957,767.0,1.804
punto_008,-31.0134,-64.25914,46.0,MODERADO,100,grid_analisis,Sierras_Chicas,0.556,-0.354,0.299,16.13,27.798,1.957,702.0,2.228
punto_009,-30.99862,-64.23797,63.4,ALTO,100,grid_analisis,Sierras_Chicas,0.373,-0.292,0.147,16.19,30.496,1.648,679.0,2.426
punto_010,-30.98655,-64.21382,44.2,MODERADO,100,grid_analisis,Sierras_Chicas,0.589,-0.273,0.22,17.85,30.496,1.648,668.0,0.661
punto_011,-31.05497,-64.28257,47.2,MODERADO,100,grid_analisis,Sierras_Chicas,0.503,-0.402,0.226,16.61,25.883,1.735,731.0,1.937
punto_012,-31.04227,-64.26067,48.3,MODERADO,100,grid_analisis,Sierras_Chicas,0.485,-0.236,0.187,16.33,27.798,1.957,696.0,1.782
punto_013,-31.03263,-64.23638,73.2,CRÍTICO,100,grid_analisis,Sierras_Chicas,0.305,-0.316,0.118,18.34,32.807,1.648,656.0,0.975
punto_014,-31.02631,-64.21014,72.7,CRÍTICO,100,grid_analisis,Sierras_Chicas,0.326,-0.336,0.154,19.2,32.807,1.648,616.0,0.907
punto_015,-31.0235,-64.18242,74.0,CRÍTICO,100,grid_analisis,Sierras_Chicas,0.309,-0.325,0.145,18.85,33.075,1.648,590.0,0.589
punto_016,-31.06278,-64.27701,47.2,MODERADO,100,grid_analisis,Sierras_Chicas,0.551,-0.313,0.235,16.13,25.883,1.735,738.0,2.016
punto_017,-31.05861,-64.25106,43.9,MODERADO,100,grid_analisis,Sierras_Chicas,0.649,-0.3,0.263,17.05,31.068,1.883,669.0,0.242
punto_018,-31.05808,-64.22433,65.6,ALTO,100,grid_analisis,Sierras_Chicas,0.356,-0.277,0.141,17.46,31.068,1.883,645.0,1.493
punto_019,-31.06125,-64.19734,47.4,MODERADO,100,grid_analisis,Sierras_Chicas,0.504,-0.358,0.266,19.25,31.529,1.883,632.0,0.897
punto_020,-31.06815,-64.1706,52.2,ALTO,100,grid_analisis,Sierras_Chicas,0.443,-0.359,0.228,17.75,31.529,1.883,590.0,1.103
punto_021,-31.07184,-64.2755,51.8,ALTO,100,grid_analisis,Sierras_Chicas,0.47,-0.381,0.28,16.45,25.883,1.735,749.0,2.524
punto_022,-31.0769,-64.24976,64.1,ALTO,100,grid_analisis,Sierras_Chicas,0.366,-0.235,0.189,17.65,31.068,1.883,685.0,0.756
punto_023,-31.08555,-64.22498,77.4,CRÍTICO,100,grid_analisis,Sierras_Chicas,0.263,-0.266,0.12,19.09,31.068,1.883,649.0,1.368
punto_024,-31.0977,-64.20166,82.3,CRÍTICO,100,grid_analisis,Sierras_Chicas,0.317,-0.294,0.106,21.51,31.068,1.883,595.0,0.882
punto_025,-31.11319,-64.1803,80.5,CRÍTICO,100,grid_analisis,Sierras_Chicas,0.299,-0.293,0.126,19.63,28.917,1.883,576.0,0.441
punto_026,-31.08068,-64.27828,51.6,ALTO,100,grid_analisis,Sierras_Chicas,0.471,-0.286,0.168,16.73,25.883,1.735,751.0,1.903
punto_027,-31.09413,-64.25699,56.9,ALTO,100,grid_analisis,Sierras_Chicas,0.436,-0.277,0.159,17.05,25.883,1.735,678.0,1.062
punto_028,-31.11055,-64.23822,60.5,ALTO,100,grid_analisis,Sierras_Chicas,0.406,-0.36,0.106,18.17,28.135,1.883,632.0,0.446
punto_029,-31.12968,-64.22241,47.5,MODERADO,100,grid_analisis,Sierras_Chicas,0.544,-0.334,0.207,18.56,28.135,1.883,624.0,0.556
punto_030,-31.15121,-64.20992,82.7,CRÍTICO,100,grid_analisis,Sierras_Chicas,0.25,-0.31,0.072,19.39,24.372,1.979,603.0,1.157
punto_031,-31.08785,-64.28491,53.9,ALTO,100,grid_analisis,Sierras_Chicas,0.456,-0.382,0.173,16.37,25.883,1.735,742.0,0.948
punto_032,-31.10747,-64.27154,52.1,ALTO,100,grid_analisis,Sierras_Chicas,0.477,-0.264,0.179,16.97,23.766,1.735,713.0,0.841
punto_033,-31.12897,-64.26188,48.6,MODERADO,100,grid_analisis,Sierras_Chicas,0.535,-0.334,0.229,16.15,23.766,1.735,689.0,0.955
punto_034,-31.15194,-64.25617,56.6,ALTO,100,grid_analisis,Sierras_Chicas,0.45,-0.302,0.228,16.57,23.033,1.698,653.0,1.812
punto_035,-31.17597,-64.25461,54.2,ALTO,100,grid_analisis,Sierras_Chicas,0.466,-0.307,0.214,16.9,23.033,1.698,635.0,0.821
punto_036,-31.09215,-64.29428,60.5,ALTO,100,grid_analisis,Sierras_Chicas,0.412,-0.184,0.143,16.31,25.883,1.735,783.0,1.708
punto_037,-31.11474,-64.29105,53.3,ALTO,100,grid_analisis,Sierras_Chicas,0.469,-0.341,0.173,16.19,23.766,1.735,740.0,2.312
punto_038,-31.13778,-64.29207,66.4,ALTO,100,grid_analisis,Sierras_Chicas,0.382,-0.249,0.196,15.95,23.766,1.735,757.0,1.224
punto_039,-31.16082,-64.29739,49.1,MODERADO,100,grid_analisis,Sierras_Chicas,0.698,-0.383,0.526,15.11,23.033,1.698,741.0,0.944
punto_040,-31.18341,-64.30702,58.4,ALTO,100,grid_analisis,Sierras_Chicas,0.466,-0.272,0.26,16.05,16.597,1.698,685.0,2.457
punto_041,-31.0929,-64.30487,57.2,ALTO,100,grid_analisis,Sierras_Chicas,0.47,-0.229,0.147,16.29,17.515,1.735,808.0,2.098
punto_042,-31.11474,-64.31229,51.6,ALTO,100,grid_analisis,Sierras_Chicas,0.614,-0.287,0.297,15.73,19.046,1.735,822.0,6.361
punto_043,-31.13554,-64.32383,51.6,ALTO,100,grid_analisis,Sierras_Chicas,0.539,-0.328,0.284,14.89,19.046,1.735,817.0,3.727
punto_044,-31.15487,-64.33932,53.2,ALTO,100,grid_analisis,Sierras_Chicas,0.68,-0.384,0.389,14.43,16.597,1.698,852.0,4.562
punto_045,-31.17231,-64.35855,54.6,ALTO,100,grid_analisis,Sierras_Chicas,0.575,-0.324,0.274,14.47,14.468,1.398,865.0,6.174
punto_046,-31.08996,-64.31493,76.9,CRÍTICO,100,grid_analisis,Sierras_Chicas,0.339,-0.26,0.143,15.35,17.515,1.735,891.0,5.991
punto_047,-31.10747,-64.3318,51.6,ALTO,100,grid_analisis,Sierras_Chicas,0.809,-0.426,0.465,14.43,19.046,1.735,922.0,4.793
punto_048,-31.12262,-64.35196,56.2,ALTO,100,grid_analisis,Sierras_Chicas,0.494,-0.421,0.259,14.57,13.35,1.763,981.0,3.346
